museums1
,MUZEJ / USTANOVA,NASLOV,LAT,LONG,SPLETNA STRAN,ZBIRKA,POVEZAVA,REGIJA,VRSTE PREDMETOV,OBDOBJE / DATACIJA 
,"Pomorski muzej ""Sergej Ma_era"" Piran","Cankarjevo nabre_je 3, 6330 Piran",45.527583,13.568119,https://pomorskimuzej.si/,Zbirka Viktorja Kristana (1876-1947),https://vazcollections.si/zbirke/zapuscine-pomorscakov/viktor-kristan/,"Kitajska, Japonska, Koreja (?)",Album fotografij in razglednic,pozno 19. in zgodnje 20. stoletje
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"Pomorski muzej ""Sergej Ma_era"" Piran","Cankarjevo nabre_je 3, 6330 Piran",45.527583,13.568119,https://pomorskimuzej.si/,Zbirka Karla Zevnika (?),https://vazcollections.si/zbirke/zapuscine-pomorscakov/karel-zevnik/,Japonska,Album fotografij in razglednic,pozno 19. in zgodnje 20. stoletje
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"Pomorski muzej ""Sergej Ma_era"" Piran","Cankarjevo nabre_je 3, 6330 Piran",45.527583,13.568119,https://pomorskimuzej.si/,Zbirka Antona Ukmarja (1886-1958),/,"Kitajska, Japonska (?)","razglednici, japonska keramika (_ajni servisi in vaze), slike z intarzijo biserne matice, drugi predmeti",20. stoletje
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"Pomorski muzej ""Sergej Ma_era"" Piran","Cankarjevo nabre_je 3, 6330 Piran",45.527583,13.568119,https://pomorskimuzej.si/,Zbirka Antona Lipov_a (1892-1970),https://vazcollections.si/zbirke/zapuscine-pomorscakov/anton-lipovz/,"Kitajska, Japonska, Koreja (?)","fotografije, razglednice, rokopisni spomini",20. stoletje
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"Pomorski muzej ""Sergej Ma_era"" Piran","Cankarjevo nabre_je 3, 6330 Piran",45.527583,13.568119,https://pomorskimuzej.si/,Zbirka Ivana Le_nika (1895-1963),/,"Kitajska, Japonska, Koreja (?)","fotografije, razglednice",20. stoletje
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"Pomorski muzej ""Sergej Ma_era"" Piran","Cankarjevo nabre_je 3, 6330 Piran",45.527583,13.568119,https://pomorskimuzej.si/,Zbirka Leopolda Vojeta (1894-1975),https://vazcollections.si/zbirke/zapuscine-pomorscakov/leopold-voje/,Japonska,vezenina,20. stoletje
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"Pomorski muzej ""Sergej Ma_era"" Piran","Cankarjevo nabre_je 3, 6330 Piran",45.527583,13.568119,https://pomorskimuzej.si/,Zbirka Jo_efa Speti_a (1885-?),https://vazcollections.si/zbirke/zapuscine-pomorscakov/jozef-spetic/,Japonska,_ajni servis,20. stoletje
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"Pomorski muzej ""Sergej Ma_era"" Piran","Cankarjevo nabre_je 3, 6330 Piran",45.527583,13.568119,https://pomorskimuzej.si/,Zbirka Karla ÄŚepregija (1907-1989),https://vazcollections.si/zbirke/zapuscine-pomorscakov/karel-cepregi/,Kitajska,Album fotografij ,20. stoletje
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"Pomorski muzej ""Sergej Ma_era"" Piran","Cankarjevo nabre_je 3, 6330 Piran",45.527583,13.568119,https://pomorskimuzej.si/,Zbirka Antona Dolenca (1871-1924),https://vazcollections.si/zbirke/zapuscine-pomorscakov/anton-dolenc/,Japonska,"dve kozuki, fotografije",pozno 19. in zgodnje 20. stoletje
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"Pomorski muzej ""Sergej Ma_era"" Piran","Cankarjevo nabre_je 3, 6330 Piran",45.527583,13.568119,https://pomorskimuzej.si/,Zbirka Antona Hausa (1851-1917),https://vazcollections.si/zbirke/zapuscine-pomorscakov/anton-haus/,Japonska,japonska pahlja_a in paravan,pozno 19. in zgodnje 20. stoletje
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"Pomorski muzej ""Sergej Ma_era"" Piran","Cankarjevo nabre_je 3, 6330 Piran",45.527583,13.568119,https://pomorskimuzej.si/,Zbirka Ivana Kor_i_a (1870-1941),https://vazcollections.si/zbirke/zapuscine-pomorscakov/album-razglednic-ivana-korsica/,Japonska,album razglednic,pozno 19. in zgodnje 20. stoletje
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"Pomorski muzej ""Sergej Ma_era"" Piran","Cankarjevo nabre_je 3, 6330 Piran",45.527583,13.568119,https://pomorskimuzej.si/,Zbirka Du_ana Mayerja (1900-?),https://vazcollections.si/zbirke/zapuscine-pomorscakov/dusan-mayer/,Japonska,"album fotografij in razglednic iz Japonske, zahodne Amerike in Durbana",20. stoletje
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"Pomorski muzej ""Sergej Ma_era"" Piran","Cankarjevo nabre_je 3, 6330 Piran",45.527583,13.568119,https://pomorskimuzej.si/,Drugi vzhodnoazijski predmeti,/,"Kitajska, Japonska","japonska oljna slika, leseni kipi, japonske vaze, papirnati lampijoni in drugi predmeti",pozno 19. in zgodnje 20. stoletje
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
5,Pokrajinski muzej Ptuj-Ormo_,"Na gradu 1, 2250 Ptuj",46.420901,15.867705,https://pmpo.si/,Zbirka fevdalne stanovanjske kulture,/,"Kitajska, Japonska (?)","kitajski lestenec, pohi_tvo",neznano
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Pokrajinski muzej Ptuj-Ormo_,"Na gradu 1, 2250 Ptuj",46.420901,15.867705,https://pmpo.si/,Kulturnozgodovinski oddelek (?),/,"Kitajska, Japonska",kitajska in japonska keramika,18. do zgodnje 20. stoletje
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
6,Pokrajinski Muzej Koper,"Kidri_eva 19, 6000 Koper",45.5482461,13.7284896,https://www.pokrajinskimuzejkoper.si/,Zbirka namiznega posodja,/,Kitajska,"kitajska keramika, mogo_e tudi drugi predmeti",19. in 20. stoletje (?)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,Koro_ki pokrajinski muzej,"Glavni trg 24, 2380 Slovenj Gradec",46.509428,15.0788096,https://www.kpm.si/,Zbirka Jakoba Sokli_a (1893-1972),/,"Kitajska, Japonska (?)","kerami_ne vaze, drugi predmeti",20. stoletje
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
